지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균 풍속(m/s),최다 풍향(16방위),합계 소형 증발량(mm),합계 대형 증발량(mm),,,
278,의성,1971,,,,,,,,,,,,,,290,,,,,
278,의성,1972,,,,,,,,,,,,,,270,,,,,
278,의성,1973,11.8,-17.5,36.6,5.9,18.5,,804.9,84.7,71.7,2824.3,63.7,6647.98,1.4,270,1251.8,767,,,
278,의성,1974,10.5,-22.5,34.5,4.6,17.4,,1031.8,80,72.2,2661.8,60.04,8713.28,1.4,290,1159.5,672.9,,,
278,의성,1975,11.9,-14.9,34.8,6.3,18.3,,1184,119.2,75.7,2520.5,56.86,8246.02,1.3,70,1140.5,684,,,
278,의성,1976,10.8,-18.8,34.4,4.7,17.5,,819.6,102,73.3,2415.1,54.35,7401.19,1.4,290,1194.5,528.9,,,
278,의성,1977,11.5,-20,37.2,5.1,18.8,,780.9,107,70.6,2518,56.8,7672.64,1.3,140,1305.7,436.2,,,
278,의성,1978,12,-14.4,36.1,5.7,19.1,,1013.8,76.1,71.9,2513.3,56.69,7853.13,1.3,230,1343.1,667.4,,,
278,의성,1979,11.5,-13.8,34.3,5.4,18.7,,945.7,57.5,74,2398.1,54.1,7642.6,1.3,230,1253.3,694.3,,,
278,의성,1980,10.2,-19.7,33.7,4,17.1,,1097.8,63.5,72.7,2283.2,51.37,6325.83,1.1,270,1155.5,565.5,,,
278,의성,1981,10.4,-23.3,35.5,3.9,17.9,,863.9,112.5,70.3,2493.6,56.25,4823.43,1,270,1295.9,628.1,,,
278,의성,1982,11.4,-18.6,36.7,4.7,19.1,,697.5,96,69.6,2511.8,56.66,,0.9,230,1395.9,675.7,,,
278,의성,1983,11.2,-18.4,36.1,4.6,18.6,,1051.5,130.8,70.6,2438.2,54.81,,1,230,1333.6,,,,
278,의성,1984,10.6,-19.4,37.4,4,18.2,,1170.1,156,68.6,2517.9,56.47,,1,270,1261.4,,,,
278,의성,1985,11.1,-20.4,36.1,5.3,17.7,,1168.8,96.8,67.5,2294.8,51.58,,1,270,1179,,,,
278,의성,1986,10.3,-17.7,35.4,4.3,17.5,1016.3,899.3,72.3,65,2378.5,53.47,,1,270,1194.1,,,,
278,의성,1987,10.9,-18.2,34.4,4.7,18.4,1016.6,1043.2,100.4,70.2,2387.9,53.68,,1,270,1163.5,,,,
278,의성,1988,10.5,-15.8,35.9,3.9,18.2,1016.4,770.5,55.1,68.6,2434.1,54.6,,1.1,270,1264.9,,,,
278,의성,1989,11.7,-14.7,34.3,5.5,18.9,1017.9,1087,78.3,73.3,2242,50.39,,0.9,270,1115.6,,,,
278,의성,1990,12,-21.5,36.3,6,19,1020.1,1063.9,69.3,77.3,2097.5,47.15,,1,270,982.3,119,,,
278,의성,1991,10.8,-19.5,34.2,4.4,18.6,1019.8,1016.9,84.5,72.1,2242.2,50.41,,1,270,1005.5,579.1,,,
278,의성,1992,10.9,-14.8,35.5,4.5,18.6,1016.7,908.7,86.5,74.2,2101.8,47.14,,1,270,979.5,563.7,,,
278,의성,1993,10.3,-21.3,32.4,3.7,18,1016.1,1239.2,78.5,78.7,2062,46.35,,1.1,270,989.5,481.7,,,
278,의성,1994,11.7,-17.7,38.5,4.2,20.2,1015.8,505.1,40,72,2423.3,54.47,,1.2,270,1337.3,735.1,,,
278,의성,1995,10.4,-17.5,37.5,3.3,18.9,1015.9,776.7,120.5,73.1,2364.6,53.16,,1.2,270,1222,599,,,
278,의성,1996,11,-18.2,37.2,4.2,19.1,1015.9,805.6,93,70,2262.9,50.76,,1.2,270,1280.9,538.9,,,
278,의성,1997,11.2,-18.9,35.8,4.2,19.4,1015.1,987.8,95,62.8,2361.5,53.08,,1.2,270,,,,,
278,의성,1998,12.1,-17,34.1,6.1,19.4,1015.7,1368.6,155.5,64.2,1934.7,43.49,,0.9,290,,,,,
278,의성,1999,11.6,-16.5,34.5,5.1,19.1,1015.6,1103.8,82,60.9,2078.2,46.72,,1,290,,,,,
278,의성,2000,11.4,-14.7,35.6,4.7,19,1016.3,1014.5,104.5,61.7,1733.9,50.6,,1,270,,,,,
