지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균 풍속(m/s),최다 풍향(16방위),합계 소형 증발량(mm),합계 대형 증발량(mm)
203,이천,1971,,,,,,,276.1,71.3,,,,,,270,,
203,이천,1972,,-15.6,35,,,,1742.7,376,,,,,,320,,
203,이천,1973,11.1,-25.7,34.4,6,16.4,,1180.7,73.8,73.2,3396.9,75.8,6057.66,1.4,270,1133.3,
203,이천,1974,9.9,-22.3,33.6,4.6,15.5,,1182.7,102.1,75.2,3209.7,72.38,9377.33,1.2,320,1053.1,
203,이천,1975,11.4,-19.1,33.6,6.3,17.2,,1311.9,141.4,73.3,3152.4,71.08,4623.12,1.2,320,1198,457.5
203,이천,1976,10.5,-18.8,33.2,5.2,16.2,,1234.9,141,71.3,3061.7,68.86,8559.17,1.3,270,1159.3,581.7
203,이천,1977,11.3,-19.4,38.3,5.6,17.6,,1031.1,99.8,70.2,2984.2,66.6,10737.07,1,270,1240.3,552.2
203,이천,1978,11.6,-19.4,35.2,6,17.6,,1138.4,157.1,73.3,2916.8,65.77,10527.23,1,270,1277.5,599.6
203,이천,1979,11.5,-19,33.6,6.4,17.2,,1373.9,81,77.4,2793.5,62.99,10107.14,1.1,270,1132.9,509.5
203,이천,1980,9.9,-21.2,32.4,4.7,15.7,,1441,124.9,76.2,2672.2,60.37,10211.27,1.1,320,1122.2,501.4
203,이천,1981,10,-26.5,35,4.5,16.1,,1445.8,148,75.6,2679.2,60.44,11125.27,.9,230,1163.9,560.5
203,이천,1982,11.3,-16.5,35.6,5.8,17.8,,954.7,92.1,72.2,2733.4,61.64,4682.04,.9,270,1266.1,599.2
203,이천,1983,11.3,-17.4,35.6,6.2,17.4,,949,65,72.5,2660,59.77,,.8,320,999.3,
203,이천,1984,10.7,-21.4,36.4,5.6,16.9,,1198.5,184.5,72,2644.1,59.29,,.8,320,982,
203,이천,1985,11,-23.2,36.5,6.2,16.6,,1402.6,104.5,72.6,2500.8,56.21,,.9,320,804.9,
203,이천,1986,10.5,-21.6,35.1,5.4,16.3,1020.3,1194.1,83,69.4,2635.7,59.23,,1,270,941.1,
203,이천,1987,11.2,-18.4,33.7,6.2,17.1,1017.2,1870.1,238.5,68.6,2573.2,57.82,,1,290,986.4,
203,이천,1988,11.2,-14.1,36.2,5.9,17.3,1016.2,1005.3,96.4,65.8,2716.5,60.92,,.9,230,1076.7,
