지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),일 최다 강수량 나타난날(yyyymmdd),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균 풍속(m/s),최다 풍향(16방위),합계 소형 증발량(mm),합계 대형 증발량(mm)
278,의성,1971,,,,,,,,,,,,,,,,,290,,
278,의성,1972,,,,,,,,,,,,,,,,,270,,
278,의성,1973,11.8,-17.5,19731225,36.6,19730717,5.9,18.5,,804.9,84.7,19730730,71.7,2824.3,63.7,6647.98,1.4,270,1251.8,767
278,의성,1974,10.5,-22.5,19740125,34.5,19740820,4.6,17.4,,1031.8,80,19740823,72.2,2661.8,60.04,8713.28,1.4,290,1159.5,672.9
278,의성,1975,11.9,-14.9,19750120,34.8,19750721,6.3,18.3,,1184,119.2,19750706,75.7,2520.5,56.86,8246.02,1.3,70,1140.5,684
278,의성,1976,10.8,-18.8,19760124,34.4,19760628,4.7,17.5,,819.6,102,19760806,73.3,2415.1,54.35,7401.19,1.4,290,1194.5,528.9
278,의성,1977,11.5,-20,19770217,37.2,19770729,5.1,18.8,,780.9,107,19770807,70.6,2518,56.8,7672.64,1.3,140,1305.7,436.2
278,의성,1978,12,-14.4,19781230,36.1,19780726,5.7,19.1,,1013.8,76.1,19780610,71.9,2513.3,56.69,7853.13,1.3,230,1343.1,667.4
278,의성,1979,11.5,-13.8,19790122,34.3,19790813,5.4,18.7,,945.7,57.5,19790620,74,2398.1,54.1,7642.6,1.3,230,1253.3,694.3
278,의성,1980,10.2,-19.7,19800118,33.7,19800615,4,17.1,,1097.8,63.5,19800525,72.7,2283.2,51.37,6325.83,1.1,270,1155.5,565.5
278,의성,1981,10.4,-23.3,19810117,35.5,19810730,3.9,17.9,,863.9,112.5,19810830,70.3,2493.6,56.25,4823.43,1,270,1295.9,628.1
278,의성,1982,11.4,-18.6,19820130,36.7,19820811,4.7,19.1,,697.5,96,19820814,69.6,2511.8,56.66,,.9,230,1395.9,675.7
278,의성,1983,11.2,-18.4,19831231,36.1,19830806,4.6,18.6,,1051.5,130.8,19830620,70.6,2438.2,54.81,,1,230,1333.6,
278,의성,1984,10.6,-19.4,19840208,37.4,19840810,4,18.2,,1170.1,156,19840902,68.6,2517.9,56.47,,1,270,1261.4,
278,의성,1985,11.1,-20.4,19850130,36.1,19850730,5.3,17.7,,1168.8,96.8,19850817,67.5,2294.8,51.58,,1,270,1179,
278,의성,1986,10.3,-17.7,19860207,35.4,19860802,4.3,17.5,1016.3,899.3,72.3,19860625,65,2378.5,53.47,,1,270,1194.1,
278,의성,1987,10.9,-18.2,19870114,34.4,19870605,4.7,18.4,1016.6,1043.2,100.4,19870607,70.2,2387.9,53.68,,1,270,1163.5,
278,의성,1988,10.5,-15.8,19880204,35.9,19880804,3.9,18.2,1016.4,770.5,55.1,19880713,68.6,2434.1,54.6,,1.1,270,1264.9,
278,의성,1989,11.7,-14.7,19890129,34.3,19890719,5.5,18.9,1017.9,1087,78.3,19890829,73.3,2242,50.39,,.9,270,1115.6,
278,의성,1990,12,-21.5,19900126,36.3,19900803,6,19,1020.1,1063.9,69.3,19900718,77.3,2097.5,47.15,,1,270,982.3,119
278,의성,1991,10.8,-19.5,19910223,34.2,19910819,4.4,18.6,1019.8,1016.9,84.5,19910927,72.1,2242.2,50.41,,1,270,1005.5,579.1
278,의성,1992,10.9,-14.8,19921225,35.5,19920729,4.5,18.6,1016.7,908.7,86.5,19920717,74.2,2101.8,47.14,,1,270,979.5,563.7
278,의성,1993,10.3,-21.3,19930121,32.4,19930707,3.7,18,1016.1,1239.2,78.5,19930713,78.7,2062,46.35,,1.1,270,989.5,481.7
278,의성,1994,11.7,-17.7,19940124,38.5,19940722,4.2,20.2,1015.8,505.1,40,19940514,72,2423.3,54.47,,1.2,270,1337.3,735.1
278,의성,1995,10.4,-17.5,19951226,37.5,19950814,3.3,18.9,1015.9,776.7,120.5,19950825,73.1,2364.6,53.16,,1.2,270,1222,599
278,의성,1996,11,-18.2,19960203,37.2,19960812,4.2,19.1,1015.9,805.6,93,19960617,70,2262.9,50.76,,1.2,270,1280.9,538.9
