지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),일 최다 강수량 나타난날(yyyymmdd),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균 풍속(m/s),최다 풍향(16방위),합계 소형 증발량(mm),합계 대형 증발량(mm)
261,해남,1971,,-4.6,19710204,28.1,19710810,,,,366,138,19710810,,,,,,110,,
261,해남,1972,,-3,19720402,29.4,19720826,,,,546,407.5,19720820,,,,,,320,,
261,해남,1973,13.5,-7,19731224,35.8,19730814,9.4,18.3,,1283,114,19730817,77.7,2974.1,67.12,4708.44,2.1,320,929.3,392
261,해남,1974,12.7,-9.1,19740226,33.9,19740820,8.2,17.7,,1893.6,200.5,19740830,77.8,2749.7,62.9,8276.17,1.9,140,848.6,533.9
261,해남,1975,13.7,-9.4,19750223,35,19750819,9.8,18.5,,1176.5,81.9,19750426,79,2581.1,59.71,4421.54,2,320,1071.6,608.1
261,해남,1976,12.5,-12.7,19761229,32.7,19760820,8,17.9,,1081.8,105.2,19760608,77.9,2364.3,53.22,,2,320,1008.3,565.4
261,해남,1977,13.2,-14.5,19770217,35.9,19770731,8.6,18.6,,1077.7,111.6,19770424,77.5,2255.1,50.9,9693.25,1.8,90,1024.8,604.6
261,해남,1978,13.9,-9.3,19780204,35.8,19780725,9,19.5,,932.9,90.1,19780618,73.2,2485.3,56.09,9849.73,1.9,320,1208.4,728.1
261,해남,1979,13.6,-9.1,19790203,35.2,19790812,8.8,19.3,,1430,120.2,19790817,74.7,2251.1,50.81,8846.85,1.8,90,1024.5,600.3
261,해남,1980,12.4,-8.9,19801231,30.4,19800724,8.1,17.3,,1613.1,111.3,19800830,75.8,2364.7,53.23,8772.15,1.8,340,933,475.9
261,해남,1981,12.8,-10.6,19810228,35.2,19810719,8.2,17.9,,1803.6,477.5,19810902,75.2,2655.7,59.94,9207.31,1.8,320,1072.3,536.1
261,해남,1982,13.5,-10.9,19820117,33.7,19820809,8.7,19,,1014.6,110.7,19820723,73.4,2728.3,61.58,3585.32,1.6,90,1103.2,559.9
261,해남,1983,13.5,-9.8,19830214,36,19830804,9,18.8,,1072.7,90.4,19830721,75.5,2567.5,57.74,,1.6,320,1019.8,
261,해남,1984,12.9,-11.6,19841230,35,19840812,8,18.1,,1107.5,123.1,19840826,77.3,2665,59.8,,1.6,90,1170.7,
261,해남,1985,13.2,-11.3,19851218,35.7,19850808,8.7,18.1,,2107.9,212.8,19850624,79.3,2396.5,53.9,,1.7,90,1121.5,
261,해남,1986,12.6,-9.3,19860102,34,19860802,7.8,17.8,1016.5,1659.6,249.4,19860828,77.8,2425.8,54.55,,1.9,320,1137.3,
261,해남,1987,13.2,-8,19870111,32.8,19870626,8.6,18.3,1016.8,1553.1,157.8,19870715,77.8,2320.6,52.18,,2.1,320,1104,
