瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),乞闭弥历扁柯(∑C),乞闭弥绊扁柯(∑C),乞闭 秦搁扁拘(hPa),钦拌 碍荐樊(mm),老 弥促 碍荐樊(mm),乞闭 惑措嚼档(%),钦拌 老炼矫埃(hr),老炼啦(%),钦拌 老荤樊(MJ/m2),乞闭 浅加(m/s),弥促 浅氢(16规困),钦拌 家屈 刘惯樊(mm),钦拌 措屈 刘惯樊(mm)
184,力林,1923,,-1.7,34.6,,,,1251.9,130.9,,1610.7,,,,160,1127.3,
184,力林,1924,14.1,-2.7,33.5,11,18.1,,1227,133.7,75.3,2105.5,,,7.8,340,1526.4,
184,力林,1925,14,-1.6,32.3,10.9,17.8,,1612.8,173.1,75.8,2019,,,5.3,340,1441.3,
184,力林,1926,14.3,-2.9,35.7,11,18.2,1016.8,956.9,58,72.7,2285.2,,,5.4,340,1724.1,
184,力林,1927,14.5,-3.2,33.1,11.3,18.3,1015.9,2042.1,301.2,75.2,2187,,,5.1,360,1572.4,
184,力林,1928,14.2,-2.3,31.4,11,17.9,1016.7,1642.3,106,76.4,2148.8,,,4.7,360,1357.1,
184,力林,1929,14.6,-3.8,33.8,11.2,18.4,1016.9,774.5,60.2,71.6,2407.4,,,5.1,340,1638.4,
184,力林,1930,15,-2.1,35.5,11.9,18.8,1016.7,1233.5,91,75.3,2138.2,,,5,340,1388.4,
184,力林,1931,14.2,-5.7,32.7,11,17.9,1016.6,1518.9,180.3,76.8,2072.8,,,5.1,360,1374.7,
184,力林,1932,14.4,-2.4,35.7,11.2,18.2,1016.8,1131.2,160.7,73.4,2269.6,,,5.1,320,1541.9,
184,力林,1933,14.2,-4.4,34,11.2,17.8,1016.6,1684.6,200.5,77.7,2122.2,,,5,340,1423,
184,力林,1934,14.3,-2.9,35,11,18,1017.1,1590.1,187.6,73.3,2222.2,,,5.5,320,1591.4,
