지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균최저기온(°C),평균최고기온(°C),합계 강수량(mm),일 최다 강수량(mm),일 최다 강수량 나타난날(yyyymmdd),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2)
236,충청남도,1980,10.8,-18.5,32.7,5.6,17,1465.3,169.4,19800625,78.8,2879.5,64.78,5997.8
236,충청남도,1981,10.8,-22.1,36.1,5.3,17.2,1339.3,122.4,19810924,78.6,3089.2,69.68,6282.19
236,충청남도,1982,12.2,-17,35.7,6.8,18.7,1021.4,122.4,19820820,78.3,3131,70.62,2155.63
236,충청남도,1983,12,-16.1,36.1,7.2,18.3,1088.1,95.3,19830620,80,2872.1,64.78,
236,충청남도,1984,11.5,-16.6,36.1,6.3,17.9,1196,107,19840902,77.6,2997.6,67.31,
236,충청남도,1985,11.9,-16.2,36.1,7.2,17.6,1639.7,119,19850707,79.4,2773.7,62.35,
236,충청남도,1986,11.1,-19.4,34.6,6,17.4,1300.1,134.7,19860828,78.8,2861.9,64.33,
236,충청남도,1987,11.9,-16.2,33,6.8,18.1,2137.5,517.6,19870722,78.7,2811.7,63.21,
236,충청남도,1988,11.8,-13.2,35.3,6,18.1,828.8,80.2,19880714,73.8,3066.2,68.78,
236,충청남도,1989,12.4,-11.2,35.5,7.2,18.9,1593.6,139.8,19890608,78.2,2874.9,64.62,
236,충청남도,1990,12.8,-20.4,36.6,7.8,19.3,1639.4,82.7,19900714,80,2530.3,56.88,
236,충청남도,1991,11.8,-16,34.8,6.6,18.2,1172,84.2,19910904,77.6,2517.1,56.58,
236,충청남도,1992,11.9,-12,34.5,6.7,18.3,1222.6,116.5,19920827,71.1,2529.5,56.74,
236,충청남도,1993,11.3,-16.4,32.1,6.2,17.7,1315.2,100.5,19930629,69.3,2096.4,47.12,
236,충청남도,1994,12.6,-19.6,37.7,7,19.4,1029.8,93.5,19940828,69.9,2384.9,53.61,
236,충청남도,1995,11.4,-15.8,34.8,5.8,18.3,1326.2,257,19950830,71.8,2204.8,49.56,
236,충청남도,1996,11.7,-13.9,36.3,6,18.2,1046.7,93,19960721,72.2,2233.5,50.1,
236,충청남도,1997,12.4,-14.2,36.2,6.7,19.1,1602.9,154.5,19970804,69.3,2309.4,51.91,
236,충청남도,1998,13.4,-16.3,34.1,8.3,19.7,2000.3,164,19980930,72.8,1920.8,43.18,
236,충청남도,1999,13,-14.2,35.8,7.5,19.5,1529.6,211,19990910,68.6,2105.5,47.33,
236,충청남도,2000,12.3,-15.3,35.2,6.9,18.9,1520.6,206.5,20000723,68.8,1627.8,47.19,
236,충청남도,2001,12.7,-16.8,37,7.3,19.3,752.6,117,20010721,67.1,3168.3,71.19,
236,충청남도,2002,12.2,-12.6,35.5,7,18.4,1274,127.5,20020806,72.3,2514.2,56.49,
236,충청남도,2003,11.8,-17.3,32.5,6.9,17.9,1780,160,20030709,69.3,2288.6,51.42,
236,충청남도,2004,12.7,-17.6,36.2,7.2,19.3,1493.9,128,20040619,72.3,2679.6,60.07,
236,충청남도,2005,11.9,-17.6,35,6.6,18.2,1527,129.5,20050711,72.3,2658.7,59.73,
236,충청남도,2006,12.8,-13.6,36,7.4,19.2,1076.5,71,20060726,71.3,2523.7,56.7,
236,충청남도,2007,12.9,-10.5,35,7.8,19.3,1651.3,98,20070914,73.3,1850.7,41.58,
236,충청남도,2008,12.8,-14.6,35.2,7.5,19.3,902.1,90.5,20080602,69.9,2021.9,45.32,
236,충청남도,2009,12.8,-14.4,33.9,7.3,19.1,1089.6,71,20090712,71,2113.3,47.48,
236,충청남도,2010,12.7,-13.7,34.9,7.7,18.5,1378.3,136.5,20100831,69.3,1909.7,42.91,
236,충청남도,2011,12.2,-15.9,35.2,7.1,18.1,2014.7,161.5,20110710,67.8,1962.1,44.08,
236,충청남도,2012,11.8,-15,37.3,6.8,17.6,1545.8,165,20120830,67.8,2104.4,47.17,
236,충청남도,2013,12.2,-19.4,34.5,7.1,18.2,1236.3,137,20130618,74.8,2061.2,46.31,
236,충청남도,2014,12.7,-11.4,34.4,7.6,18.9,1142.1,101,20140924,75.3,2050.8,46.07,
236,충청남도,2015,12.9,-14.2,35.8,7.8,19,848.8,60,20151001,75.7,2081.7,46.77,
236,충청남도,2016,13.3,-17.5,36.2,8.2,19.4,1129.3,157,20160704,74.3,2082.5,46.68,
236,충청남도,2017,12.5,-13.3,36.5,7,18.9,1112,107,20170814,71.1,2313.9,51.98,
236,충청남도,2018,12.7,-16.6,39.3,7.3,19.1,1457.9,187,20180701,71.4,2344,52.66,
236,충청남도,2019,12.9,-10.9,36.4,7.4,19.5,992,92.5,20191117,72,2172.6,48.81,
236,충청남도,2020,12.8,-12.4,34.8,7.7,18.9,1624.8,123.9,20200713,75.1,2081.3,46.65,
236,충청남도,2021,13.3,-21.2,34.9,8.1,19.5,1123.4,55.3,20210703,75.4,2113.2,47.8,
236,충청남도,2022,12.8,-12.4,35,7.3,19.1,1301.1,175.3,20220810,73.1,2334.4,52.62,
288,경상남도,1980,12,-14,32.2,6.5,18.3,1581.5,138.8,19800911,68.5,2398.5,53.98,7983.41
288,경상남도,1981,12,-14.1,35.6,6.1,18.8,1106.7,93,19810903,64.9,2547.2,57.47,8100.43
288,경상남도,1982,13.2,-12.9,34.9,7.2,20,945.9,191.5,19820814,65.4,2486.2,56.09,1123.7
288,경상남도,1983,13,-11.9,38.1,7.2,19.3,1250,103,19830817,67.8,2470.2,55.53,
288,경상남도,1984,12.4,-15.6,36.9,6.6,19,1405.1,163,19840707,63,2545.1,57.09,
288,경상남도,1985,12.9,-14.6,35.9,7.6,18.9,1697.6,97,19850624,66.2,2344.7,52.71,
288,경상남도,1986,12.4,-12.7,34.3,6.7,18.9,1117.4,109,19860625,65.8,2479.3,55.73,
288,경상남도,1987,12.8,-12.7,34.2,7.2,19.5,1277.5,123.5,19870607,68.8,2369,53.25,
288,경상남도,1988,12.7,-12.3,35.7,6.6,19.5,624.8,59,19880629,68.2,2436.4,54.65,
288,경상남도,1989,13.5,-10.3,34,7.9,20.2,1679.5,138.5,19890729,74.9,2309.1,51.91,
288,경상남도,1990,14,-15.8,37.1,8.5,20.5,1126.8,93,19900620,79.1,2194.3,49.33,
288,경상남도,1991,13.1,-15.2,34.4,7.4,19.7,1493.3,152.5,19910823,82.7,2290.1,51.48,
288,경상남도,1992,13.1,-9.7,36,7.3,19.8,1035.5,97.5,19920924,70.7,2221.9,49.81,
288,경상남도,1993,12.6,-10.5,32.1,6.8,19,1381,133.5,19930821,76.3,1958.6,44.03,
288,경상남도,1994,14,-13.5,39.4,7.5,21.1,695.5,76.5,19940801,73.9,2446.6,55.01,
288,경상남도,1995,12.8,-10.8,37.4,6.4,19.7,879.5,67.5,19950603,73.3,2257.9,50.76,
288,경상남도,1996,12.9,-11.8,36.2,7,19.7,912.6,98.5,19960624,75.8,2367.8,53.11,
288,경상남도,1997,13.8,-13.9,36.3,7.6,20.8,1573.9,216.5,19970626,76.4,2473.3,55.6,
288,경상남도,1998,14.2,-10.4,33.5,8.9,20.4,1553.1,195,19980930,70,2045,45.98,
288,경상남도,1999,13.2,-10.4,33.4,7.7,19.7,1879.6,144,19990920,63.9,2273.6,51.11,
288,경상남도,2000,13.2,-9.7,35.7,7.5,19.7,981.5,67.5,20000825,61.2,1832.4,53.62,
288,경상남도,2001,13.3,-12.3,35.5,7.6,19.9,1125,178,20010624,60.8,2217.6,49.86,
288,경상남도,2002,13.3,-11.3,34.9,7.6,19.7,1531.5,116,20020831,63,2766.8,62.16,
288,경상남도,2003,13.3,-12.1,35.4,8.2,19.5,1685.3,177,20030912,63.8,2443.5,54.9,
288,경상남도,2004,14.4,-14.8,38.5,8.2,21.7,1377.4,89,20040818,62.8,2349.5,52.67,
288,경상남도,2005,13.2,-14.5,36.2,7.2,20.2,971.5,64,20050701,60.9,2216.5,49.8,
288,경상남도,2006,13.1,-12.8,36.5,7.4,20,1324.5,109.5,20060710,63.4,1956.3,43.95,
288,경상남도,2007,13.7,-11.1,36.5,7.9,20.6,1061,102,20070808,63.1,1887.3,42.4,
288,경상남도,2008,13.6,-10.6,36.6,7.5,20.8,807.5,94,20080618,63.7,2175.6,48.77,
288,경상남도,2009,14.5,-12.4,38.3,8.6,21.2,1130.8,118.5,20090707,61.7,2163.9,48.62,
288,경상남도,2010,13.6,-12.2,36.4,8.1,20,1251.5,127,20100711,64.3,2074.8,46.61,
288,경상남도,2011,13.5,-15.8,35.9,7.9,19.8,1529.8,245,20110709,62.9,2100.2,47.18,
288,경상남도,2012,13.4,-14,37.5,7.8,19.7,1370.4,106.5,20120908,62.3,2154.4,48.29,
288,경상남도,2013,14.1,-12.9,38.4,8.3,20.9,1036.5,64,20130705,61.9,2365.6,53.15,
288,경상남도,2014,14,-10,37.9,8.4,20.7,1212.4,105,20140825,63,2041.9,45.87,
288,경상남도,2015,14.2,-11,36.6,8.7,20.6,951.3,54.6,20150821,67.5,2124.8,47.74,
288,경상남도,2016,14.7,-12,37.8,9.5,20.8,1568.2,163.7,20160903,68.1,2094.7,46.96,
288,경상남도,2017,14.2,-11.4,39,8.1,21.2,558.1,33.7,20170406,61,2403.5,54,
288,경상남도,2018,13.8,-13.7,38.9,8.2,20.3,1337,197,20180826,65.6,2348.1,52.75,
288,경상남도,2019,14.3,-9.4,36.6,8.6,20.8,1181.1,129.5,20191002,64.7,2338.6,52.79,
288,경상남도,2020,14.1,-9.9,36.2,8.7,20.3,1398.8,92.7,20200808,64.7,2378.5,53.32,
288,경상남도,2021,14.5,-14.2,37.8,9.1,21,1202.5,121.6,20210821,65,2340.7,52.59,
288,경상남도,2022,14.6,-10.1,36.1,8.9,21.1,843.2,125.6,20220627,58.8,2456.7,55.48,
