지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균최저기온(°C),평균최고기온(°C),합계 강수량(mm),일 최다 강수량(mm),일 최다 강수량 나타난날(yyyymmdd),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2)
201,인천광역시,1982,11.2,-15.6,34.4,5.8,16.7,992.2,170.5,19820814,71.2,2828.4,63.51,4618.8
201,인천광역시,1983,11.1,-19.8,33.8,6.3,16.2,1057,123,19830702,73.8,2572.4,57.79,
201,인천광역시,1984,10.5,-17.6,34.6,5.4,15.7,1248.4,193.5,19840901,72.1,2631.7,58.99,
201,인천광역시,1985,10.6,-21.1,34.7,5.5,15.6,1362.6,139.5,19850810,75.9,2493.4,56.02,
201,인천광역시,1986,10.2,-22,31.5,5,15.3,1383.1,271.5,19860724,74.6,2671.5,60.02,
201,인천광역시,1987,10.7,-17,31.3,5.8,15.9,1738,150.2,19870727,72,2500,56.16,
201,인천광역시,1988,10.9,-15.2,35.2,5.7,16.4,953,136.5,19880712,64.7,2230.9,50.17,
201,인천광역시,1989,11.6,-11.8,34.8,6.5,17.1,1418.6,222.5,19890917,69.6,2514.6,56.49,
201,인천광역시,1990,11.6,-19.6,34.2,7.4,16.1,2365.4,223,19900910,73.4,2086.2,46.87,
201,인천광역시,1991,11.1,-14.5,33.7,6.6,16,1005,171,19910725,69,2691.2,60.46,
201,인천광역시,1992,11.2,-12.2,32.2,6.6,16.1,1183.7,124.5,19920807,75.7,2728.5,61.16,
201,인천광역시,1993,10.6,-14.6,31,5.6,15.6,1215.1,88.5,19930602,79.6,2312.1,51.93,
201,인천광역시,1994,11.9,-15.2,35.5,6.7,17,1182.6,98,19940705,77.3,2111.4,47.43,
201,인천광역시,1995,11,-13,32.7,5.9,16.1,1029.5,104.5,19950823,71.8,2258.1,50.72,
201,인천광역시,1996,10.9,-14.8,33.8,5.8,16.1,1277.7,164.5,19960726,72.6,2249.8,50.43,
201,인천광역시,1997,11.3,-15.7,34.8,6.3,16.8,1419.3,293,19970803,69.1,2370.3,53.25,
201,인천광역시,1998,12,-15.5,31.7,7.4,17.3,2116.4,481,19980806,66.2,2067,46.43,
201,인천광역시,1999,11.2,-15.4,33.8,6.5,16.4,1541.8,247.5,19990801,67.2,2235.4,50.21,
201,인천광역시,2000,10.6,-14.6,33.8,6.1,15.6,1117.7,143,20000916,67.2,1726.8,50.21,
201,인천광역시,2001,10.8,-22.1,33.6,6.1,16,1139.4,151,20010714,63.7,3357.7,75.43,
