瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),乞闭弥历扁柯(∑C),乞闭弥绊扁柯(∑C),乞闭 秦搁扁拘(hPa),钦拌 碍荐樊(mm),老 弥促 碍荐樊(mm),乞闭 惑措嚼档(%),钦拌 老炼矫埃(hr),老炼啦(%),钦拌 老荤樊(MJ/m2),乞闭 浅加(m/s),弥促 浅氢(16规困),钦拌 家屈 刘惯樊(mm),钦拌 措屈 刘惯樊(mm)
127,面没合档,1980,9.8,-22.2,32.7,4.3,16.1,,1355.3,107.3,73.8,2392.1,53.52,5422.68,0.8,270,868.1,463.7
127,面没合档,1981,10,-28.5,35.2,4.3,16.6,,1088.7,99,73.2,2398,53.79,673.66,0.7,230,916.9,507.5
127,面没合档,1982,11.3,-17.1,36.4,5.6,18.2,,844.4,59.4,74.1,2533.2,56.82,,0.7,230,1026.1,567.4
127,面没合档,1983,11.4,-18.2,35.2,6.1,17.8,,906.3,67,75.3,2445.7,54.96,,0.9,230,1014.1,
127,面没合档,1984,10.7,-26,35.6,5,17.3,,1088.2,85.3,75.8,2519.5,56.5,,0.8,230,988,
127,面没合档,1985,11.1,-25.6,35.2,6.1,17.1,,1356.6,80.3,76.8,2293.1,51.53,,0.9,320,965.7,
127,面没合档,1986,10.5,-22.2,34.8,5.6,16.7,1015.3,983.3,104,74.2,2434.1,54.7,,0.9,230,948.1,
127,面没合档,1987,11.4,-18.7,33.2,6.4,17.6,1015.5,1471.2,128,74.3,2394,53.81,,0.8,290,948.7,
127,面没合档,1988,11.2,-14.2,35.4,5.9,17.8,1015.2,868.3,140.4,70.7,2553.6,57.26,,0.7,250,1071.9,
127,面没合档,1989,12,-12.5,34.2,7.1,18.2,1015.5,1424.2,176.1,74.3,2401.8,53.98,,0.9,290,1071.5,
127,面没合档,1990,12.3,-19.6,35.8,7.7,18.2,1015.6,1886.8,212,77.8,2125.1,47.76,,0.9,270,951.7,548.4
127,面没合档,1991,11.4,-17.6,34.8,6.2,17.8,1015.3,1419.9,96,75.7,2436.6,54.76,,0.8,270,1047.8,559
127,面没合档,1992,11.5,-13,34.4,6.5,17.6,1014.6,919.2,87,69.3,2320.8,52.05,,1,270,1030,519.4
127,面没合档,1993,11,-15.4,32.5,5.9,17.1,1015,1164.4,112.5,71.8,2061.1,46.32,,1.3,290,1024.9,536.3
127,面没合档,1994,11.9,-18.2,37.9,5.9,18.6,1017,1118.4,263,69.9,2347.2,52.75,,1.7,290,1331.3,705.9
127,面没合档,1995,10.2,-17.9,33.7,4.5,17.1,1017.1,1318.6,225,64.6,2153.4,48.4,,1.7,230,1184.7,592.9
127,面没合档,1996,10.6,-16.1,34.9,5.3,17.1,1017.4,939,62.5,72.5,2173.4,48.74,,2,230,1181.1,608.2
127,面没合档,1997,11.3,-16.8,34.9,5.5,18.1,1017.1,1219.7,122,66.7,2291.8,51.5,,1.7,270,,
127,面没合档,1998,12.6,-15.2,33.3,7.4,19,1017.4,1652.5,106.5,66.6,1990.2,44.72,,1.4,270,,
127,面没合档,1999,11.2,-15.5,33.6,5.6,17.7,1017.1,1315.4,170,71.5,2253.1,50.64,,1.7,270,,
127,面没合档,2000,11.2,-14.7,35.4,5.7,17.7,1017.1,1269.6,107,66.3,2080.1,46.65,,1.6,270,,
127,面没合档,2001,11.7,-19.3,35.2,6,18.1,1016.8,798.1,66.8,64.5,1963.8,44.1,,1.6,270,,
127,面没合档,2002,11.2,-17,34.9,6,17,1016.1,1469.6,227,65.6,1933.1,43.42,,1.7,110,,
127,面没合档,2003,11.6,-18.5,32.8,6.6,17.3,1016.6,1641.2,87,68.3,1733.7,38.93,,1.4,110,,
127,面没合档,2004,12.4,-15.8,36.3,6.9,18.9,1016.5,1425.2,148,67.2,2044,45.8,,1.6,70,,
127,面没合档,2005,11.2,-17.3,35.3,5.9,17.2,1016.2,1380.9,103,64.8,2082.5,46.77,,1.7,70,,
127,面没合档,2006,11.5,-17.3,35,6.4,17.5,1016.3,1233.9,178,66.6,1898.6,42.64,,1.8,90,,
127,面没合档,2007,12.1,-13.1,33.8,7.1,18,1016,1439.2,88,68.7,1744,39.16,,1.8,90,,
127,面没合档,2008,12,-13.9,35.4,6.7,18.4,1016.5,882.5,80,66.8,2036.6,45.64,,1.5,110,,
127,面没合档,2009,11.9,-16.8,34.1,6.5,18,1015.9,936.8,116.5,65.9,2033.3,45.67,,1.5,140,,
127,面没合档,2010,11.5,-21.4,35.1,6.5,17.2,1016.4,1212.3,109.5,68.3,1867.9,41.95,,1.5,90,,
127,面没合档,2011,11.4,-19.3,34.6,6.2,17.3,1017,2073.3,167,66.3,2023.7,45.45,,1.6,90,,
127,面没合档,2012,11.5,-20.7,36.9,6.4,17.3,1016.3,1290.3,134,65.3,2420.7,54.24,,1.6,90,,
127,面没合档,2013,11.8,-21.7,34.2,6.6,17.6,1016.3,1102.6,80.5,67.4,2358.7,52.97,,1.6,90,,
127,面没合档,2014,12.2,-14.2,34.9,6.9,18.4,1016.9,899.6,86.4,64.6,2353,52.85,,1.6,90,,
127,面没合档,2015,12.7,-13.8,36.1,7.3,18.7,1016.7,731.8,71.7,63.3,2306.4,51.8,,1.6,90,,
127,面没合档,2016,12.9,-17,36.7,7.5,19,1016.7,917.1,121.9,63.8,2035.9,45.62,,1.5,90,,
127,面没合档,2017,12,-16,36.3,6.4,18.3,1017,1072.9,89,63.3,2386.8,53.6,,1.5,90,,
127,面没合档,2018,12,-19.2,40,6.4,18.4,1017.4,1349.1,134.2,65.4,2348.3,52.74,,1.5,90,,
127,面没合档,2019,12.3,-13.2,35.5,6.7,18.6,1016.8,795.5,60.6,67.8,2261.9,50.79,,1.3,90,,
127,面没合档,2020,12.1,-17,34.5,6.8,18.1,1016.9,1446.5,84.2,70.2,2222,49.79,,1.4,90,,
127,面没合档,2021,12.4,-19.6,34.9,7.1,18.4,1016.8,1365.5,111.5,70.3,2260.8,50.9,321.41,1.4,90,61.5,43.3
127,面没合档,2022,11.9,-17.5,34.7,6.2,18.1,1016.2,1464.2,143.7,68.4,2402.8,53.96,5322.09,1.2,90,1286.2,900.5
136,版惑合档,1980,10.2,-19.7,33.7,4,17.1,,1097.8,63.5,72.7,2283.2,51.37,6325.83,1.1,270,1155.5,565.5
136,版惑合档,1981,10.4,-23.3,35.5,3.9,17.9,,863.9,112.5,70.3,2493.6,56.25,4823.43,1,270,1295.9,628.1
136,版惑合档,1982,11.4,-18.6,36.7,4.7,19.1,,697.5,96,69.6,2511.8,56.66,,0.9,230,1395.9,675.7
136,版惑合档,1983,11.2,-18.4,36.1,4.6,18.6,,1051.5,130.8,70.6,2438.2,54.81,,1,230,1333.6,
136,版惑合档,1984,10.6,-19.4,37.4,4,18.2,,1170.1,156,68.6,2517.9,56.47,,1,270,1261.4,
136,版惑合档,1985,11.1,-20.4,36.1,5.3,17.7,,1168.8,96.8,67.5,2294.8,51.58,,1,270,1179,
136,版惑合档,1986,10.3,-17.7,35.4,4.3,17.5,1016.3,899.3,72.3,65,2378.5,53.47,,1,270,1194.1,
136,版惑合档,1987,10.9,-18.2,34.4,4.7,18.4,1016.6,1043.2,100.4,70.2,2387.9,53.68,,1,270,1163.5,
136,版惑合档,1988,10.5,-15.8,35.9,3.9,18.2,1016.4,770.5,55.1,68.6,2434.1,54.6,,1.1,270,1264.9,
136,版惑合档,1989,11.7,-14.7,34.3,5.5,18.9,1017.9,1087,78.3,73.3,2242,50.39,,0.9,270,1115.6,
136,版惑合档,1990,12,-21.5,36.3,6,19,1020.1,1063.9,69.3,77.3,2097.5,47.15,,1,270,982.3,119
136,版惑合档,1991,10.8,-19.5,34.2,4.4,18.6,1019.8,1016.9,84.5,72.1,2242.2,50.41,,1,270,1005.5,579.1
136,版惑合档,1992,10.9,-14.8,35.5,4.5,18.6,1016.7,908.7,86.5,74.2,2101.8,47.14,,1,270,979.5,563.7
136,版惑合档,1993,10.3,-21.3,32.4,3.7,18,1016.1,1239.2,78.5,78.7,2062,46.35,,1.1,270,989.5,481.7
136,版惑合档,1994,11.7,-17.7,38.5,4.2,20.2,1015.8,505.1,40,72,2423.3,54.47,,1.2,270,1337.3,735.1
136,版惑合档,1995,10.4,-17.5,37.5,3.3,18.9,1015.9,776.7,120.5,73.1,2364.6,53.16,,1.2,270,1222,599
136,版惑合档,1996,11,-18.2,37.2,4.2,19.1,1015.9,805.6,93,70,2262.9,50.76,,1.2,270,1280.9,538.9
136,版惑合档,1997,11.2,-18.9,35.8,4.2,19.4,1015.1,987.8,95,62.8,2361.5,53.08,,1.2,270,,
136,版惑合档,1998,12.1,-17,34.1,6.1,19.4,1015.7,1368.6,155.5,64.2,1934.7,43.49,,0.9,290,,
136,版惑合档,1999,11.6,-16.5,34.5,5.1,19.1,1015.6,1103.8,82,60.9,2078.2,46.72,,1,290,,
136,版惑合档,2000,11.4,-14.7,35.6,4.7,19,1016.3,1014.5,104.5,61.7,1733.9,50.6,,1,270,,
136,版惑合档,2001,11,-18.6,35.7,4.3,18.8,1016.6,622.8,55,59.9,2741.7,61.62,,0.9,290,,
136,版惑合档,2002,10.8,-18,34.4,4.4,18.1,1016.3,1430.9,111.5,63.8,2174.2,48.84,,0.8,290,,
136,版惑合档,2003,10.9,-19.1,34.2,5.2,17.8,1016.9,1696.5,121.5,71.9,1829,41.09,,0.9,290,,
