지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균최저기온(°C),평균최고기온(°C),합계 강수량(mm),일 최다 강수량(mm),일 최다 강수량 나타난날(yyyymmdd),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
131,충청북도,1980,10.5,-18.9,32.8,5.6,16.5,1659.7,217,19800722,69.6,2083,2780.9
131,충청북도,1981,10.8,-22.1,36.4,5.6,17.2,1134.7,83.5,19810703,69.3,2163.9,2790.63
131,충청북도,1982,12.1,-16.9,35.2,6.7,18.3,850.2,61.5,19821129,68.8,2468.6,4192.34
131,충청북도,1983,12,-15.8,35.6,7.3,17.9,1238.1,113,19830620,72.4,2306.7,4822.71
131,충청북도,1984,11.4,-19.2,37.8,6.3,17.6,1103.5,101.8,19840902,72.2,2427.4,5042.3
131,충청북도,1985,11.8,-18.8,35.8,7,17.5,1372.1,78,19850810,72.8,2188.1,3750.18
131,충청북도,1986,11.2,-18.6,35,6.1,17.1,1157.5,100.5,19860719,72.6,2322.7,4909.41
131,충청북도,1987,12,-16.7,34,6.9,18.2,1656.2,224.7,19870722,72.7,2243.8,4667.58
131,충청북도,1988,11.7,-15.3,35.4,6.4,18.2,878.9,67.7,19880818,71.2,2422.5,4833.69
131,충청북도,1989,12.6,-12.6,35.1,7.4,18.7,1280.3,110.3,19890914,74.2,2403.4,4607.67
131,충청북도,1990,12.9,-19.3,36.8,8.1,18.6,1473.7,91.5,19900821,78.6,2105.5,3773.46
131,충청북도,1991,12,-17.2,34.4,6.8,18.1,1143.6,88.4,19910927,69.8,2418,4496.18
131,충청북도,1992,12.3,-11.3,34.5,7.3,18.4,990.1,97.1,19920924,69.4,2217.8,4378.93
131,충청북도,1993,11.9,-13.6,32.8,6.9,17.7,1301.8,112.2,19930713,70.3,2092.1,4331.13
131,충청북도,1994,13.3,-15.9,37.8,8,19.4,1012,107.1,19940630,65.2,2475.7,4809.1
131,충청북도,1995,12,-13.9,35.7,6.8,18.3,1339.8,293,19950825,65.3,2402.9,4717.3
131,충청북도,1996,12.1,-13.9,36.2,7.2,17.8,928.8,85.8,19960617,68.4,2391,4656.68
131,충청북도,1997,12.7,-15,35,7.4,18.4,1456.6,172.6,19970701,69.7,2430.5,4672.98
131,충청북도,1998,13.6,-12.7,34.4,9,19,1640.2,142.7,19980930,70.2,2206.4,4320.21
131,충청북도,1999,13.1,-12.9,34.9,8.1,18.5,1326.5,113,19991011,64.7,2329.5,4568.03
131,충청북도,2000,12.3,-13.5,33.6,7.7,17.6,1357.6,128.1,20000723,65,2079.6,4887.73
131,충청북도,2001,12.9,-18.1,34.3,8.1,18.3,784.1,71,20010730,63.1,2201.2,5000.68
131,충청북도,2002,12.8,-13.1,34.7,8.1,17.9,1281.8,135.5,20020806,64.2,2029.9,4767.27
131,충청북도,2003,12.7,-17.5,32,8.2,17.6,1581.8,149,20030722,66.6,1806,4473.65
131,충청북도,2004,13.4,-15.5,34.6,8.4,19,1505.9,131.5,20040621,61.2,2206.8,5101.42
131,충청북도,2005,12.5,-15,34,7.8,17.8,1427.2,102,20050711,60.8,2157.8,5100.27
131,충청북도,2006,13.3,-13.3,34.2,8.6,18.5,1081.1,154.5,20060716,62.3,1965.3,4933.67
131,충청북도,2007,13.7,-10.1,33.5,9.3,18.8,1534.5,90.5,20070804,64.8,1900.9,4819.36
131,충청북도,2008,13.4,-11.9,35.1,8.7,18.8,892.3,198,20080719,62.3,2054.7,4947.87
131,충청북도,2009,13,-13.5,33.5,8.3,18.4,1019.8,80.5,20090709,61.3,2071,4573.65
131,충청북도,2010,13,-15.1,35.7,8.6,18.1,1422.4,119.5,20100911,65.3,1888.1,4609.56
131,충청북도,2011,12.8,-15.5,35,8.4,17.9,1805.6,141,20110624,64.6,1962.7,4749.74
131,충청북도,2012,12.7,-15.2,36.4,8.3,17.7,1387.6,165.5,20120815,63.7,2066.9,4702.49
131,충청북도,2013,13.3,-16.9,35.5,8.8,18.4,1240.7,156.5,20130618,65.1,2354.6,4492.69
131,충청북도,2014,13.9,-9.7,36,9.4,19.1,913.7,100.5,20140924,62.8,2289.1,5087.12
131,충청북도,2015,14,-10.8,36.4,9.6,19.2,756.9,45.5,20150626,59.1,2411.9,4825.14
131,충청북도,2016,13.9,-16.3,36.3,9.5,18.9,938,153.6,20160704,58.9,2468.3,4878.35
131,충청북도,2017,13.4,-11.1,36.7,8.9,18.7,1301.2,290.2,20170716,57.7,2693.5,5090.57
131,충청북도,2018,13.5,-15.8,39.1,9.1,18.7,1381.6,151.6,20180903,60.2,2640.8,5425.97
131,충청북도,2019,14.2,-8.6,36.7,9.7,19.3,856.7,97.7,20190725,61.2,2432.2,5453.19
131,충청북도,2020,13.9,-13.7,36,9.7,18.9,1358.6,79.3,20200713,62.9,2319.9,5372.2
131,충청북도,2021,14.4,-16.3,36.4,9.9,19.3,1001.6,66.5,20210901,62.5,2372.2,5345.83
131,충청북도,2022,13.9,-13.9,36,9.4,19,1236.4,212.6,20220810,59.5,2535.7,5567.93
203,경기도,1980,9.9,-21.2,32.4,4.7,15.7,1441,124.9,19800722,76.2,2672.2,10211.27
203,경기도,1981,10,-26.5,35,4.5,16.1,1445.8,148,19810703,75.6,2679.2,11125.27
203,경기도,1982,11.3,-16.5,35.6,5.8,17.8,954.7,92.1,19820728,72.2,2733.4,4682.04
203,경기도,1983,11.3,-17.4,35.6,6.2,17.4,949,65,19830719,72.5,2660,
203,경기도,1984,10.7,-21.4,36.4,5.6,16.9,1198.5,184.5,19840901,72,2644.1,
203,경기도,1985,11,-23.2,36.5,6.2,16.6,1402.6,104.5,19850513,72.6,2500.8,
203,경기도,1986,10.5,-21.6,35.1,5.4,16.3,1194.1,83,19860719,69.4,2635.7,
203,경기도,1987,11.2,-18.4,33.7,6.2,17.1,1870.1,238.5,19870721,68.6,2573.2,
203,경기도,1988,11.2,-14.1,36.2,5.9,17.3,1005.3,96.4,19880720,65.8,2716.5,
203,경기도,1989,12.1,-13.4,34.4,7.1,17.9,1452.2,93.2,19890303,70.7,2486.9,
203,경기도,1990,12,-20.7,35.9,7.3,17.5,2313.3,273.6,19900911,73.1,2205.3,
203,경기도,1991,11.5,-18.7,35,6.2,17.5,1379.1,89.9,19910721,68,2559.2,
203,경기도,1992,11.3,-13.5,33,6.3,17.1,1207,185.5,19920827,70.2,2381.2,
203,경기도,1993,11.2,-14.7,32.2,6,16.9,1251.8,121,19930713,66.6,1921.2,
203,경기도,1994,13,-14.4,38.2,7.3,19.3,1118.8,135.5,19940828,65.6,2202,
203,경기도,1995,11.3,-15.3,36,5.5,18,1423.9,126,19950820,67.8,2257.9,
203,경기도,1996,11.6,-16.1,35.8,6.1,18.1,1122.1,134.5,19960617,64.6,2237.5,
203,경기도,1997,11.5,-16.2,35.4,5.5,18.7,1282.9,136,19970701,63.9,2271.7,
203,경기도,1998,12,-16.5,31.7,7,18,1807.5,174.5,19980808,68.5,1956.2,
203,경기도,1999,11.5,-15.5,34.3,6.1,17.7,1675.3,189.5,19990920,63.8,2107.9,
203,경기도,2000,11.3,-15.3,33.6,5.9,17.4,1264.9,241,20000722,59.6,1632.6,
203,경기도,2001,11.1,-23.2,34.5,5.5,17.6,884.9,76,20010724,62.3,2326,
203,경기도,2002,11.4,-17,34.5,6,17.7,1394.6,279,20020807,65.1,2179.5,
203,경기도,2003,11.5,-20.2,32,6.4,17.4,1715.2,120,20030627,70.6,1957.3,
203,경기도,2004,12,-18,35.9,6.4,18.4,1177.4,101.5,20040619,69.2,2260.3,
203,경기도,2005,11.6,-17.5,35.7,6.2,17.7,1303.3,87,20050728,70.7,2312.8,
203,경기도,2006,12.2,-15.5,35.5,7.1,18,1464.8,207.5,20060716,69.3,2115.5,
203,경기도,2007,11.8,-14.1,34.2,6.8,17.8,1414.8,87.5,20070804,70.6,1815,
203,경기도,2008,11.5,-14.3,35,6.1,17.9,1170.7,162.5,20080724,69,2015.4,
203,경기도,2009,11.6,-16.6,33.8,6,17.9,1401.5,304,20090712,64.7,2065,
203,경기도,2010,11.1,-22.8,34.1,6.1,16.9,1429.6,187,20100921,69.1,1827.9,
203,경기도,2011,11,-20.6,34.7,5.7,17.1,2045,206,20110727,66.8,2052.1,
203,경기도,2012,11.1,-22.8,37.7,5.7,17.4,1559.2,247.5,20120706,64.4,2386.1,
