지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균 풍속(m/s),최다 풍향(16방위),합계 소형 증발량(mm),합계 대형 증발량(mm)
281,경상북도,1980,11.4,-15,33.7,5.7,17.8,,1349.7,147.9,65.7,2230.7,50.2,7406.05,1.4,320,928.4,
281,경상북도,1981,11.7,-20.5,34.9,5.6,18.1,,933.6,190.1,65.3,2418.4,54.56,8044.39,1.4,320,1075,
281,경상북도,1982,12.2,-14.1,35.9,6.6,19.1,,695.4,153.7,64.3,2334.5,52.67,1802.36,1.2,320,1064.6,
281,경상북도,1983,12.1,-14.2,36.6,6.8,18.5,,891.9,87,64.9,2257.1,50.74,,1.3,320,983.7,
281,경상북도,1984,11.8,-16,38.5,6.2,18.5,,1041.3,122,65.1,2355.6,52.84,,1.4,320,995.2,
281,경상북도,1985,12.3,-16.1,37.1,7.1,18.4,,1203.7,92.5,66.6,2223.8,50,,1.5,320,977.3,
281,경상북도,1986,11.6,-15,35.1,6.2,18.3,1016.4,942.5,85,67.1,2328.3,52.34,,1.6,320,1013.3,
281,경상북도,1987,12,-13,34.5,6.5,18.4,1015.5,948.3,80,68.7,2376,53.41,,2.2,290,1096.5,
281,경상북도,1988,11.8,-12.7,37.5,6.2,17.9,1015.1,721.1,109.3,64.8,2414.6,54.16,,2.3,290,1213.2,
281,경상북도,1989,12.5,-11.9,33.6,7.1,18.6,1015.5,1237.8,125.8,66.9,2274.9,51.15,,2,70,1052,
281,경상북도,1990,13,-16.1,37,7.6,19,1015.7,972,71.7,69.6,2206.2,49.6,,2,70,1003.8,
281,경상북도,1991,11.9,-13.4,33.4,6.4,17.9,1015.4,1338.8,135.2,68,2277.4,51.19,,2,290,,
281,경상북도,1992,12.1,-13.2,36.7,6.6,18.3,1016,890.5,109.5,68.6,2196.8,49.28,,1.9,290,,
281,경상북도,1993,11.5,-18,32,5.9,17.8,1016.6,1337,76.5,65.3,1890.2,42.5,,1.9,290,,
281,경상북도,1994,13.4,-12,39.4,7,20.3,1016.4,561,43,60,2493.1,56.05,,1.7,290,,
281,경상북도,1995,12.2,-12.3,37.5,6,19,1016.5,813.2,122,61.4,2334.5,52.48,,2,270,,
281,경상북도,1996,12,-14.8,37.9,6,18.8,1016.9,994.2,109,66.3,2253.4,50.55,,1.7,360,,
281,경상북도,1997,12.5,-14.3,36.4,6.1,19.5,1016.6,1238.3,101.5,67,2363.7,53.14,,1.7,290,,
